employee_id,age,gender,department,education,tenure_years,salary_usd,performance_rating,location,attrition_flag
1001,59,Female,HR,Associate,8.3,105821,Low,Carmel,No
1002,49,Female,HR,Doctorate,7.7,75991,Meets,Bloomington,Yes
1003,35,Male,Sales,Master,7.2,117057,Exceeds,Carmel,No
1004,63,Female,Customer Support,High School,12.5,151193,Meets,Bloomington,No
1005,28,Male,IT,Bachelor,9.1,44971,Meets,Fort Wayne,No
1006,41,Male,Sales,Doctorate,16.7,67139,Meets,Fort Wayne,No
1007,59,Non-Binary,HR,High School,13.6,123445,Meets,Indianapolis,No
1008,39,Female,HR,Doctorate,1.9,115067,Meets,Fishers,No
1009,43,Male,IT,Doctorate,13.0,118257,Meets,Bloomington,No
1010,31,Female,Operations,Bachelor,5.8,122742,Low,Indianapolis,No
1011,31,Female,Finance,Master,12.1,75711,Exceeds,Fishers,No
1012,44,Female,HR,Associate,13.8,44530,Low,Bloomington,No
1013,56,Male,Customer Support,Master,5.0,49116,Meets,Carmel,No
1014,60,Male,Customer Support,Bachelor,9.4,103794,Low,Fishers,No
1015,44,Female,HR,Bachelor,4.2,38282,Meets,Fort Wayne,No
1016,23,Female,Operations,Bachelor,1.5,117473,Meets,Indianapolis,Yes
1017,42,Female,Operations,High School,7.9,39898,Meets,Fishers,No
1018,22,Male,Sales,Master,7.6,42135,Low,Fishers,No
1019,44,Female,Customer Support,Master,19.9,44629,Meets,Fort Wayne,No
1020,64,Female,Sales,Doctorate,9.2,147472,Low,Bloomington,No
1021,50,Male,Customer Support,Doctorate,7.0,123120,Meets,Carmel,Yes
1022,58,Male,Finance,Doctorate,11.8,127087,Exceeds,Fort Wayne,No
1023,22,Female,Finance,Bachelor,2.2,103031,Meets,Carmel,No
1024,41,Female,IT,Master,19.3,71380,Meets,Bloomington,No
1025,53,Male,Sales,Bachelor,12.9,150507,Meets,Fishers,No
1026,32,Male,HR,High School,15.2,55071,Low,Carmel,Yes
1027,42,Male,Sales,Doctorate,3.8,58074,Meets,Indianapolis,No
1028,64,Male,HR,Bachelor,8.5,128724,Meets,Indianapolis,Yes
1029,45,Female,Operations,Bachelor,8.7,105843,Meets,Fort Wayne,No
1030,47,Female,Sales,High School,16.5,77901,Low,Bloomington,No
1031,62,Male,Operations,Associate,0.5,49205,Exceeds,Fort Wayne,No
1032,48,Female,Finance,Master,6.4,93661,Meets,Fort Wayne,No
1033,36,Female,Finance,Associate,19.6,43906,Exceeds,Fort Wayne,No
1034,35,Female,IT,Doctorate,9.8,40591,Meets,Indianapolis,No
1035,64,Female,Sales,Bachelor,8.0,100987,Meets,Indianapolis,No
1036,23,Male,Operations,High School,2.8,101370,Low,Fort Wayne,No
1037,57,Male,HR,High School,19.5,118685,Low,Indianapolis,No
1038,27,Female,Finance,Master,0.9,148454,Exceeds,Bloomington,Yes
1039,41,Female,Finance,Associate,14.9,143487,Meets,Fort Wayne,No
1040,29,Male,HR,Master,15.5,92400,Exceeds,Indianapolis,No
1041,59,Female,Operations,Bachelor,5.3,63150,Meets,Carmel,No
1042,38,Female,Operations,Master,13.6,69852,Low,Fort Wayne,No
1043,24,Male,Sales,High School,2.3,80870,Low,Fort Wayne,No
1044,45,Female,Sales,High School,5.5,90756,Meets,Bloomington,Yes
1045,34,Non-Binary,Customer Support,Doctorate,15.9,153357,Exceeds,Fishers,No
1046,29,Non-Binary,Customer Support,Doctorate,17.4,94481,Meets,Fishers,No
1047,46,Male,IT,Bachelor,12.4,39283,Meets,Bloomington,No
1048,22,Female,Finance,Associate,10.4,71691,Meets,Bloomington,Yes
1049,40,Female,Sales,Master,3.6,39125,Low,Bloomington,No
1050,48,Female,Operations,Bachelor,1.7,105065,Meets,Fishers,No
